[16:36:45.564] 1372444,21.09,23.76,26.25,22.80,-1.77,9.26,4.31
[16:36:45.666] 1372546,21.26,23.87,26.12,22.70,-2.00,6.98,2.04
[16:36:45.768] 1372649,21.45,23.99,26.12,22.70,-2.51,10.67,3.10
[16:36:45.871] 1372750,21.45,23.99,25.96,22.53,-2.67,11.49,3.65
[16:36:45.973] 1372853,21.62,24.09,25.77,22.37,-0.78,9.61,11.02
[16:36:46.076] 1372955,21.62,24.09,25.77,22.37,-1.84,9.49,2.24
[16:36:46.178] 1373057,21.77,24.17,25.65,22.18,-2.24,9.02,5.73
[16:36:46.280] 1373160,21.94,24.27,25.49,22.18,-1.49,9.69,4.82
[16:36:46.382] 1373262,21.94,24.27,25.49,22.10,-1.06,10.71,3.69
[16:36:46.484] 1373364,21.99,24.29,25.37,22.04,-2.75,11.10,8.79
[16:36:46.586] 1373467,22.07,24.29,25.37,22.04,-2.59,9.26,-0.67
[16:36:46.689] 1373569,22.07,24.31,25.28,22.05,-1.65,7.81,2.35
[16:36:46.792] 1373671,22.05,24.43,25.20,21.97,-1.53,10.87,2.63
[16:36:46.894] 1373774,22.05,24.43,25.20,21.97,-1.92,10.63,0.20
[16:36:46.995] 1373875,22.07,24.46,25.14,21.92,-2.55,10.40,1.41
[16:36:47.098] 1373978,22.16,24.35,25.14,21.92,-1.57,9.38,10.04
[16:36:47.201] 1374080,22.16,24.35,25.02,21.99,-2.20,10.20,-0.16
[16:36:47.303] 1374182,22.24,24.42,24.89,21.93,-2.39,7.57,2.12
[16:36:47.405] 1374285,22.24,24.42,24.89,21.93,-1.88,11.85,0.98
[16:36:47.507] 1374387,22.35,24.50,24.72,21.93,-3.37,11.49,5.41
[16:36:47.609] 1374490,22.50,24.45,24.51,21.93,-3.49,8.90,6.35
[16:36:47.712] 1374592,22.50,24.45,24.51,21.90,-2.86,9.06,-1.22
[16:36:47.814] 1374694,22.50,24.45,24.51,21.90,-1.88,8.04,2.43
[16:36:47.916] 1374796,22.50,24.45,24.51,21.90,-2.24,9.96,0.98
[16:36:48.017] 1374897,22.50,24.45,24.51,21.90,-3.61,10.04,0.94
[16:36:48.120] 1374999,22.64,24.11,24.28,22.00,-1.45,15.42,5.18
[16:36:48.222] 1375102,22.64,24.11,24.28,22.00,-1.84,10.28,1.29
[16:36:48.324] 1375204,22.74,24.01,24.14,22.02,-2.20,8.32,2.51
[16:36:48.426] 1375306,22.74,24.01,24.14,22.02,-2.00,8.87,3.30
[16:36:48.528] 1375407,22.74,24.01,24.14,22.02,-2.71,11.65,3.26
[16:36:48.629] 1375509,22.78,23.95,23.87,22.13,-2.24,13.02,-2.04
[16:36:48.732] 1375612,22.91,23.95,23.87,22.13,-3.33,8.67,5.10
[16:36:48.834] 1375714,22.91,23.70,23.91,22.22,-2.31,7.26,5.49
[16:36:48.936] 1375816,23.03,23.70,23.61,22.22,-2.12,9.06,2.67
[16:36:49.039] 1375919,23.03,23.70,23.61,22.32,-2.71,12.08,0.08
[16:36:49.141] 1376020,23.06,23.54,23.56,22.46,-1.69,16.51,4.31
[16:36:49.244] 1376123,23.08,23.42,23.56,22.46,-0.35,10.47,2.04
[16:36:49.345] 1376225,23.08,23.42,23.36,22.53,-1.92,7.73,1.33
[16:36:49.448] 1376328,23.10,23.31,23.39,22.57,-1.77,8.98,4.59
[16:36:49.550] 1376430,23.10,23.31,23.39,22.57,-3.92,11.73,3.77
[16:36:49.652] 1376532,23.29,23.12,23.28,22.63,-2.12,13.96,-4.20
[16:36:49.754] 1376634,23.30,23.12,23.08,22.63,-3.22,9.92,1.61
[16:36:49.855] 1376736,23.30,23.12,23.08,22.75,-1.14,8.47,4.20
[16:36:49.958] 1376838,23.30,23.12,22.99,22.86,-1.65,8.98,0.75
[16:36:50.061] 1376940,23.42,23.12,22.99,22.86,-3.30,10.71,0.90
[16:36:50.163] 1377042,23.42,22.82,22.95,22.89,-2.94,11.65,-1.84
[16:36:50.265] 1377145,23.46,22.74,22.85,22.99,-1.73,6.00,2.43
[16:36:50.367] 1377247,23.46,22.74,22.85,22.99,-1.45,9.02,4.35
[16:36:50.469] 1377349,23.62,22.62,22.60,23.06,-2.16,9.06,4.39
[16:36:50.572] 1377452,23.63,22.54,22.60,23.06,-3.77,11.34,1.84
[16:36:50.674] 1377554,23.63,22.54,22.60,23.19,-1.53,13.53,0.39
[16:36:50.776] 1377656,23.75,22.52,22.53,23.29,-3.45,9.49,2.63
[16:36:50.878] 1377759,23.75,22.52,22.53,23.29,-1.69,7.26,4.04
[16:36:50.981] 1377861,-6.01,22.45,22.51,23.37,-1.73,11.02,1.06
[16:36:51.084] 1377963,8.64,22.35,22.31,23.37,-2.63,11.41,-1.45
[16:36:51.186] 1378066,8.64,22.35,22.31,23.52,-2.67,13.18,-2.82
[16:36:51.288] 1378168,23.94,22.19,22.27,23.56,-1.53,6.94,1.41
[16:36:51.389] 1378269,23.94,22.19,22.27,23.56,-2.20,7.77,4.67
[16:36:51.493] 1378372,23.94,22.19,22.27,23.56,-2.51,9.61,5.22
[16:36:51.594] 1378475,9.78,21.93,22.05,23.69,-3.73,12.12,1.29
[16:36:51.698] 1378577,9.78,21.93,22.05,23.69,-2.51,11.53,-2.28
[16:36:51.799] 1378679,24.28,21.84,22.00,23.89,-2.86,8.04,-2.75
[16:36:51.902] 1378782,24.40,21.72,21.82,23.89,-1.29,6.71,2.71
[16:36:52.004] 1378884,24.40,21.72,21.82,24.07,-1.92,10.63,-1.26
[16:36:52.106] 1378986,24.52,21.65,21.64,24.17,-3.73,12.43,0.51
[16:36:52.209] 1379089,24.61,21.65,21.64,24.17,-0.63,14.16,4.08
[16:36:52.311] 1379191,24.61,21.46,21.72,24.23,-2.00,9.10,-2.31
[16:36:52.413] 1379293,24.74,21.41,21.65,24.30,-2.39,7.81,5.69
[16:36:52.516] 1379396,24.74,21.41,21.65,24.30,-2.24,9.65,1.33
[16:36:52.618] 1379497,24.91,21.35,21.60,24.38,-3.33,13.38,2.71
[16:36:52.720] 1379599,24.96,21.35,21.60,24.38,-1.53,11.06,7.41
[16:36:52.822] 1379702,24.96,21.35,21.47,24.51,-3.06,9.14,-0.35
[16:36:52.924] 1379804,25.11,21.11,21.27,24.78,-1.65,8.51,3.88
[16:36:53.026] 1379906,25.11,21.11,21.27,24.78,-2.31,9.10,1.26
[16:36:53.128] 1380008,25.16,21.09,21.23,24.84,-3.41,12.16,1.06
[16:36:53.231] 1380111,25.16,21.09,21.23,24.84,-1.14,12.12,10.28
[16:36:53.333] 1380212,25.16,21.09,21.23,24.84,-1.18,11.49,-8.00
[16:36:53.435] 1380314,25.16,21.09,21.23,24.84,-2.24,8.12,7.77
[16:36:53.537] 1380416,25.16,21.09,21.23,24.84,-2.20,8.87,1.84
[16:36:53.639] 1380518,25.16,20.77,21.23,25.26,-3.41,11.49,3.53
[16:36:53.741] 1380621,25.65,20.66,20.95,25.20,-3.02,9.81,5.49
[16:36:53.843] 1380723,25.65,20.66,20.95,25.20,-3.10,9.38,-0.39
[16:36:53.945] 1380825,25.73,20.72,21.00,25.32,-1.88,6.83,3.77
[16:36:54.048] 1380928,25.78,20.55,20.95,25.32,-2.51,9.77,0.12
[16:36:54.151] 1381030,25.78,20.55,20.95,25.41,-3.96,11.77,1.26
[16:36:54.253] 1381132,25.78,20.55,20.95,25.41,-2.08,10.24,7.96
[16:36:54.355] 1381235,25.92,20.55,20.95,25.41,-2.67,11.69,5.37
[16:36:54.457] 1381337,25.92,20.39,20.96,25.69,-2.35,6.90,4.86
[16:36:54.559] 1381439,25.95,20.36,20.96,25.69,-1.84,9.34,0.82
[16:36:54.662] 1381542,25.95,20.36,20.96,25.69,-2.71,12.04,3.73
[16:36:54.764] 1381643,25.96,20.27,20.85,25.91,-2.90,11.81,6.16
[16:36:54.865] 1381745,25.96,20.27,20.85,25.91,-3.33,9.34,-3.61
[16:36:54.968] 1381848,25.96,20.27,20.85,25.91,-1.37,7.88,4.98
[16:36:55.070] 1381950,26.07,20.01,21.49,26.21,-0.78,10.83,0.24
[16:36:55.173] 1382053,26.07,20.01,21.49,26.21,-3.41,11.49,-0.08
[16:36:55.275] 1382155,26.03,19.99,21.15,26.15,-2.20,8.67,10.32
[16:36:55.378] 1382257,25.93,19.83,21.20,26.15,-1.92,9.57,-0.08
[16:36:55.480] 1382360,25.93,19.83,21.20,26.30,-1.61,7.45,2.00
[16:36:55.582] 1382462,25.97,19.73,21.27,26.50,-1.65,11.65,0.00
[16:36:55.685] 1382565,25.89,19.58,21.27,26.50,-3.45,11.96,2.67
[16:36:55.787] 1382666,25.89,19.58,21.41,26.60,-2.55,11.69,5.49
[16:36:55.889] 1382769,25.80,19.52,21.55,26.77,-2.79,6.47,-1.18
[16:36:55.992] 1382871,25.80,19.52,21.55,26.77,-1.96,6.16,1.92
[16:36:56.093] 1382973,25.76,19.30,21.74,26.89,-2.59,11.22,2.16
[16:36:56.197] 1383076,25.58,19.23,21.91,26.89,-3.77,11.77,-0.12
