realtimestamp,wearable_timestamp,d1,d2,d3,d4,ax,ay,az
11:23:53.001,394973,2085,2265,2640,2595,-490,7,-129
11:23:54.001,395981,2085,2265,2460,2460,-490,7,-129
11:23:54.801,396772,2145,2310,2385,2385,-615,-86,-207
11:23:55.651,397634,2145,2670,2280,2325,-615,-86,-207
11:23:56.551,398512,2145,2505,2205,2235,-615,-86,-207
11:23:57.401,399363,2145,2745,2130,2145,-615,-86,-207
11:23:58.301,400278,2145,3090,2025,2040,-615,-86,-207
11:23:59.201,401174,2145,2985,1935,1935,-615,-86,-207
11:24:00.100,402080,2145,3015,1830,1875,-615,-86,-207
11:24:00.901,402883,2805,3645,1755,1785,-796,-98,-133
11:24:01.751,403741,2805,3240,1680,1695,-796,-98,-133
11:24:02.651,404608,3015,3945,1560,1605,-804,-62,-521
11:24:03.501,405488,3015,3690,1470,1500,-804,-62,-521
11:24:04.450,406442,3015,3960,1440,1470,-804,-62,-521
11:24:05.351,407331,3015,5070,1350,1410,-804,-62,-521
11:24:06.301,408297,3015,4740,1275,1320,-804,-62,-521
11:24:07.201,409155,4170,4320,1185,1245,-1039,0,349
11:24:09.101,411052,4170,5010,1110,1170,-1039,0,349
11:24:09.951,411926,5685,4920,1035,1125,-1361,-152,525
11:24:12.250,414224,8655,8655,990,1035,-592,133,239
11:24:13.201,415154,8655,4425,945,1080,-592,133,239
11:24:13.951,415948,4185,4365,975,1110,-1208,27,149
11:24:14.851,416835,4185,4275,1020,1155,-1208,27,149
11:24:15.701,417668,3975,4155,1050,1275,-972,62,278
11:24:16.550,418537,3975,4110,1080,1125,-972,62,278
11:24:17.451,419432,3975,4005,1110,1275,-972,62,278
11:24:18.350,420310,3975,3765,2070,1365,-972,62,278
11:24:19.250,421236,3975,3735,1560,1560,-972,62,278
11:24:20.200,422180,3975,3645,1380,1545,-972,62,278
11:24:21.051,423038,3975,3435,1455,1620,-972,62,278
11:24:21.900,423896,3975,3480,1500,1650,-972,62,278
11:24:22.750,424740,3120,3540,1710,1950,-1372,109,-415
11:24:23.651,425647,3120,3270,1920,1920,-1372,109,-415
11:24:24.551,426523,3120,3180,1830,1935,-1372,109,-415
11:24:25.901,427870,2700,2940,705,2070,-631,113,-11
11:24:26.800,428760,2520,2895,2115,2475,-1027,27,-498
11:24:27.750,429714,2520,2730,2295,2475,-1027,27,-498
11:24:28.750,430702,2520,2550,2820,2475,-1027,27,-498
11:24:29.601,431575,2520,2490,11550,3015,-1027,27,-498
11:24:30.500,432492,2520,2370,5625,2430,-1027,27,-498
11:24:31.300,433268,2520,2415,3765,2385,-1396,152,105
11:24:32.150,434131,2520,2490,3885,2340,-1396,152,105
11:24:33.050,435007,2520,2370,2730,2475,-1396,152,105
11:24:33.800,435801,3060,2235,4425,3390,-710,3,-7
11:24:34.750,436732,3060,2280,3390,3135,-710,3,-7
11:24:35.650,437629,3060,2205,2775,7155,-710,3,-7
11:24:37.050,439046,3060,2040,2550,6330,-710,3,-7
11:24:37.900,439881,2160,1905,3660,6765,-1439,-82,494
11:24:38.801,440757,2160,1800,2970,2640,-1439,-82,494
11:24:39.650,441630,2160,1965,2955,2640,-1439,-82,494
11:24:40.501,442496,2160,2100,2880,2700,-1439,-82,494
11:24:41.401,443392,1905,2580,2805,2700,-796,117,3
11:24:42.300,444260,1815,2205,2760,2700,-639,-43,215
11:24:43.300,445262,1815,2205,2715,2775,-639,-43,215
11:24:44.200,446168,1815,2415,2700,2790,-639,-43,215
11:24:45.051,447048,1815,2100,2625,2925,-639,-43,215
11:24:46.001,447974,1815,2715,2580,2850,-639,-43,215
11:24:46.850,448834,1815,2445,2535,2895,-639,-43,215
11:24:47.750,449735,1815,2445,2520,2895,-639,-43,215
11:24:48.650,450602,1815,2865,2475,2805,-639,-43,215
11:24:49.451,451407,1815,2460,2355,2760,-686,-109,-133
11:24:50.300,452258,1815,2610,2250,2640,-686,-109,-133
11:24:51.150,453116,1815,2610,2175,2565,-686,-109,-133
11:24:52.050,454038,1815,2760,2340,2745,-686,-109,-133
11:24:52.950,454909,1815,2670,2490,2730,-686,-109,-133
11:24:53.800,455785,2025,2640,2865,2490,-859,7,302
11:24:54.650,456643,2025,2595,2490,2445,-859,7,302
11:24:55.450,457448,2145,2505,2565,2535,-788,133,-43
11:24:56.350,458333,2145,2460,5970,4710,-788,133,-43
11:24:57.200,459183,2145,2370,3600,3600,-788,133,-43
11:24:58.100,460100,2145,2370,3480,2790,-788,133,-43
11:24:59.000,460976,2145,2280,2775,3075,-788,133,-43
11:25:00.450,462407,2145,2205,2235,2880,-788,133,-43
11:25:01.300,463255,2145,2055,2895,5175,-788,133,-43
11:25:02.150,464118,2145,1995,3150,5895,-788,133,-43
11:25:03.550,465537,2145,1890,3420,4710,-788,133,-43
11:25:04.950,466924,2145,1830,4320,3435,-788,133,-43
11:25:06.400,468366,1350,1575,3855,3435,-1023,-74,-251
11:25:07.300,469254,1350,1590,6180,6915,-1023,-74,-251
11:25:08.150,470120,1350,1500,5685,7110,-1023,-74,-251
11:25:09.000,470967,1350,1410,5175,4545,-1023,-74,-251
11:25:09.900,471861,1350,1365,4890,5610,-1023,-74,-251
11:25:10.799,472796,1005,1275,6525,5310,-929,86,231
11:25:11.700,473660,1005,1245,7545,6240,-929,86,231
11:25:12.700,474684,1005,1245,6360,9030,-929,86,231
11:25:13.600,475560,1005,1230,6360,5115,-929,86,231
11:25:14.449,476421,1005,1350,5010,7155,-929,86,231
11:25:15.850,477819,1005,1470,4275,5910,-929,86,231
11:25:17.249,479205,1005,1620,5445,4260,-929,86,231
11:25:18.199,480188,1005,1530,4275,4260,-929,86,231
