timestamp,playerid,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za,ta,pos_x,pos_y,confidence
1900-01-01 21:50:27.420,a,254969,23.430190513510976,20.047020346740634,15.06385662286074,20.035158712972933,5.09,3.64,8.66,11.783433285761836,17.151207413037422,15.987446413170545,0.8129181131085352
1900-01-01 21:50:27.471,a,255071,23.43063942023154,20.09447097506718,15.079475080096302,20.0239555180092,7.25,3.41,7.68,12.344107906203671,17.12678855199526,16.005965604380048,0.8044923954965303
1900-01-01 21:50:27.522,a,255071,23.43116705416155,20.13855564216939,15.09613427936948,20.01116416335303,7.25,3.41,7.68,12.344107906203671,17.102714173860477,16.02355108481867,0.7972240556335685
1900-01-01 21:50:27.572,a,255173,23.431569833382188,20.177178283531816,15.11046683337848,19.998011590901903,6.19,4.19,9.72,12.816653229295081,17.080959939359353,16.039789035307553,0.7913419264014466
1900-01-01 21:50:27.622,a,255173,23.43177463035843,20.20935034583167,15.122629517599155,19.98532361675948,6.19,4.19,9.72,12.816653229295081,17.062103288043424,16.05387957330068,0.7868401081706513
1900-01-01 21:50:27.672,a,255275,23.43178266596456,20.23281318201153,15.134767104296868,19.973638929188397,5.92,1.13,10.23,14.658383266922723,17.04657479459147,16.064083081598053,0.7839633456303194
1900-01-01 21:50:27.723,a,255275,23.431633651747898,20.24878186569533,15.14602061625517,19.963288316695923,5.92,1.13,10.23,14.658383266922723,17.034313836696107,16.071009744267336,0.782387747605394
1900-01-01 21:50:27.774,a,255377,23.431383347145918,20.245406810613595,15.155903004271487,19.954450721197595,5.76,1.92,9.8,13.831558119026216,17.029720699856142,16.0700848543634,0.7845873651418229
1900-01-01 21:50:27.823,a,255377,23.43108997233341,20.23028963416362,15.164178038573635,19.947193742779955,5.76,1.92,9.8,13.831558119026216,17.03022300728115,16.06437511844526,0.7889972360095783
1900-01-01 21:50:27.874,a,255479,23.430806432446165,20.208570475718194,15.179770638595024,19.93750664238175,5.45,3.37,10.0,13.078509089341951,17.030270939698223,16.054858005753523,0.7949911911375288
